row_type,car_group,clip_name,clip_path,speed_kmh,input_type,duration_s,n_mel_frames,prediction,n_clips,n_L2R,n_R2L,n_no_vehicle,pct_L2R,pct_R2L,pct_no_vehicle,majority_prediction,model,checkpoint,spectrogram_png,prob_L2R,prob_R2L,prob_no_vehicle
clip,CitroenC4Picasso,CitroenC4Picasso_101,CitroenC4Picasso/CitroenC4Picasso_101.wav,101,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8839,0.1161,
clip,CitroenC4Picasso,CitroenC4Picasso_35,CitroenC4Picasso/CitroenC4Picasso_35.wav,35,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.9338,0.0662,
clip,CitroenC4Picasso,CitroenC4Picasso_38,CitroenC4Picasso/CitroenC4Picasso_38.wav,38,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8576,0.1424,
clip,CitroenC4Picasso,CitroenC4Picasso_41,CitroenC4Picasso/CitroenC4Picasso_41.wav,41,audio,10.006,431,R2L,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.1849,0.8151,
clip,CitroenC4Picasso,CitroenC4Picasso_44,CitroenC4Picasso/CitroenC4Picasso_44.wav,44,audio,10.006,431,R2L,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.4013,0.5987,
clip,CitroenC4Picasso,CitroenC4Picasso_48,CitroenC4Picasso/CitroenC4Picasso_48.wav,48,audio,10.027,432,R2L,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.1577,0.8423,
clip,CitroenC4Picasso,CitroenC4Picasso_51,CitroenC4Picasso/CitroenC4Picasso_51.wav,51,audio,10.006,431,R2L,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.1762,0.8238,
clip,CitroenC4Picasso,CitroenC4Picasso_54,CitroenC4Picasso/CitroenC4Picasso_54.wav,54,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.5049,0.4951,
clip,CitroenC4Picasso,CitroenC4Picasso_57,CitroenC4Picasso/CitroenC4Picasso_57.wav,57,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8223,0.1777,
clip,CitroenC4Picasso,CitroenC4Picasso_59,CitroenC4Picasso/CitroenC4Picasso_59.wav,59,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.588,0.412,
clip,CitroenC4Picasso,CitroenC4Picasso_63,CitroenC4Picasso/CitroenC4Picasso_63.wav,63,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8833,0.1167,
clip,CitroenC4Picasso,CitroenC4Picasso_65,CitroenC4Picasso/CitroenC4Picasso_65.wav,65,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7593,0.2407,
clip,CitroenC4Picasso,CitroenC4Picasso_68,CitroenC4Picasso/CitroenC4Picasso_68.wav,68,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8644,0.1356,
clip,CitroenC4Picasso,CitroenC4Picasso_72,CitroenC4Picasso/CitroenC4Picasso_72.wav,72,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8557,0.1443,
clip,CitroenC4Picasso,CitroenC4Picasso_74,CitroenC4Picasso/CitroenC4Picasso_74.wav,74,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8984,0.1016,
clip,CitroenC4Picasso,CitroenC4Picasso_78,CitroenC4Picasso/CitroenC4Picasso_78.wav,78,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8703,0.1297,
clip,CitroenC4Picasso,CitroenC4Picasso_80,CitroenC4Picasso/CitroenC4Picasso_80.wav,80,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8933,0.1067,
clip,CitroenC4Picasso,CitroenC4Picasso_83,CitroenC4Picasso/CitroenC4Picasso_83.wav,83,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7609,0.2391,
clip,CitroenC4Picasso,CitroenC4Picasso_85,CitroenC4Picasso/CitroenC4Picasso_85.wav,85,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.847,0.153,
clip,CitroenC4Picasso,CitroenC4Picasso_87,CitroenC4Picasso/CitroenC4Picasso_87.wav,87,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7825,0.2175,
clip,CitroenC4Picasso,CitroenC4Picasso_92,CitroenC4Picasso/CitroenC4Picasso_92.wav,92,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7078,0.2922,
clip,CitroenC4Picasso,CitroenC4Picasso_94,CitroenC4Picasso/CitroenC4Picasso_94.wav,94,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.679,0.321,
clip,CitroenC4Picasso,CitroenC4Picasso_96,CitroenC4Picasso/CitroenC4Picasso_96.wav,96,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.885,0.115,
group,CitroenC4Picasso,__GROUP__CitroenC4Picasso,,,,,,L2R,23,19,4,0,0.8261,0.1739,0.0,L2R,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,,,
clip,KiaSportage,KiaSportage_100,KiaSportage/KiaSportage_100.wav,100,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.6879,0.3121,
clip,KiaSportage,KiaSportage_103,KiaSportage/KiaSportage_103.wav,103,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8999,0.1001,
clip,KiaSportage,KiaSportage_105,KiaSportage/KiaSportage_105.wav,105,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7509,0.2491,
clip,KiaSportage,KiaSportage_31,KiaSportage/KiaSportage_31.wav,31,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.5471,0.4529,
clip,KiaSportage,KiaSportage_33,KiaSportage/KiaSportage_33.wav,33,audio,10.027,432,R2L,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.1864,0.8136,
clip,KiaSportage,KiaSportage_35,KiaSportage/KiaSportage_35.wav,35,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.5117,0.4883,
clip,KiaSportage,KiaSportage_38,KiaSportage/KiaSportage_38.wav,38,audio,10.006,431,R2L,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.4355,0.5645,
clip,KiaSportage,KiaSportage_41,KiaSportage/KiaSportage_41.wav,41,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7036,0.2964,
clip,KiaSportage,KiaSportage_44,KiaSportage/KiaSportage_44.wav,44,audio,10.006,431,R2L,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.2682,0.7318,
clip,KiaSportage,KiaSportage_46,KiaSportage/KiaSportage_46.wav,46,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7861,0.2139,
clip,KiaSportage,KiaSportage_48,KiaSportage/KiaSportage_48.wav,48,audio,10.006,431,R2L,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.3878,0.6122,
clip,KiaSportage,KiaSportage_51,KiaSportage/KiaSportage_51.wav,51,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.819,0.181,
clip,KiaSportage,KiaSportage_53,KiaSportage/KiaSportage_53.wav,53,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.686,0.314,
clip,KiaSportage,KiaSportage_55,KiaSportage/KiaSportage_55.wav,55,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7683,0.2317,
clip,KiaSportage,KiaSportage_58,KiaSportage/KiaSportage_58.wav,58,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8258,0.1742,
clip,KiaSportage,KiaSportage_61,KiaSportage/KiaSportage_61.wav,61,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7941,0.2059,
clip,KiaSportage,KiaSportage_63,KiaSportage/KiaSportage_63.wav,63,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7891,0.2109,
clip,KiaSportage,KiaSportage_65,KiaSportage/KiaSportage_65.wav,65,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.6927,0.3073,
clip,KiaSportage,KiaSportage_68,KiaSportage/KiaSportage_68.wav,68,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8513,0.1487,
clip,KiaSportage,KiaSportage_69,KiaSportage/KiaSportage_69.wav,69,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.6933,0.3067,
clip,KiaSportage,KiaSportage_72,KiaSportage/KiaSportage_72.wav,72,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7436,0.2564,
clip,KiaSportage,KiaSportage_74,KiaSportage/KiaSportage_74.wav,74,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7286,0.2714,
clip,KiaSportage,KiaSportage_77,KiaSportage/KiaSportage_77.wav,77,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.6879,0.3121,
clip,KiaSportage,KiaSportage_78,KiaSportage/KiaSportage_78.wav,78,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8081,0.1919,
clip,KiaSportage,KiaSportage_80,KiaSportage/KiaSportage_80.wav,80,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8399,0.1601,
clip,KiaSportage,KiaSportage_83,KiaSportage/KiaSportage_83.wav,83,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8403,0.1597,
clip,KiaSportage,KiaSportage_85,KiaSportage/KiaSportage_85.wav,85,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.6448,0.3552,
clip,KiaSportage,KiaSportage_86,KiaSportage/KiaSportage_86.wav,86,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8488,0.1512,
clip,KiaSportage,KiaSportage_89,KiaSportage/KiaSportage_89.wav,89,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8425,0.1575,
clip,KiaSportage,KiaSportage_91,KiaSportage/KiaSportage_91.wav,91,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7905,0.2095,
clip,KiaSportage,KiaSportage_93,KiaSportage/KiaSportage_93.wav,93,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8183,0.1817,
clip,KiaSportage,KiaSportage_96,KiaSportage/KiaSportage_96.wav,96,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.788,0.212,
clip,KiaSportage,KiaSportage_98,KiaSportage/KiaSportage_98.wav,98,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.9021,0.0979,
group,KiaSportage,__GROUP__KiaSportage,,,,,,L2R,33,29,4,0,0.8788,0.1212,0.0,L2R,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,,,
clip,Mazda3,Mazda3_101,Mazda3/Mazda3_101.wav,101,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.6007,0.3993,
clip,Mazda3,Mazda3_103,Mazda3/Mazda3_103.wav,103,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.7088,0.2912,
clip,Mazda3,Mazda3_105,Mazda3/Mazda3_105.wav,105,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_left_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_left_100ep\best.pt,,0.8724,0.1276,
