row_type,car_group,clip_name,clip_path,speed_kmh,input_type,duration_s,n_mel_frames,prediction,n_clips,n_L2R,n_R2L,n_no_vehicle,pct_L2R,pct_R2L,pct_no_vehicle,majority_prediction,model,checkpoint,spectrogram_png,prob_L2R,prob_R2L,prob_no_vehicle
clip,CitroenC4Picasso,CitroenC4Picasso_101,CitroenC4Picasso/CitroenC4Picasso_101.wav,101,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.881,0.119,
clip,CitroenC4Picasso,CitroenC4Picasso_35,CitroenC4Picasso/CitroenC4Picasso_35.wav,35,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.9068,0.0932,
clip,CitroenC4Picasso,CitroenC4Picasso_38,CitroenC4Picasso/CitroenC4Picasso_38.wav,38,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8984,0.1016,
clip,CitroenC4Picasso,CitroenC4Picasso_41,CitroenC4Picasso/CitroenC4Picasso_41.wav,41,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.5158,0.4842,
clip,CitroenC4Picasso,CitroenC4Picasso_44,CitroenC4Picasso/CitroenC4Picasso_44.wav,44,audio,10.006,431,R2L,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.2727,0.7273,
clip,CitroenC4Picasso,CitroenC4Picasso_48,CitroenC4Picasso/CitroenC4Picasso_48.wav,48,audio,10.027,432,R2L,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.4208,0.5792,
clip,CitroenC4Picasso,CitroenC4Picasso_51,CitroenC4Picasso/CitroenC4Picasso_51.wav,51,audio,10.006,431,R2L,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.3466,0.6534,
clip,CitroenC4Picasso,CitroenC4Picasso_54,CitroenC4Picasso/CitroenC4Picasso_54.wav,54,audio,10.006,431,R2L,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.4669,0.5331,
clip,CitroenC4Picasso,CitroenC4Picasso_57,CitroenC4Picasso/CitroenC4Picasso_57.wav,57,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.5909,0.4091,
clip,CitroenC4Picasso,CitroenC4Picasso_59,CitroenC4Picasso/CitroenC4Picasso_59.wav,59,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.7231,0.2769,
clip,CitroenC4Picasso,CitroenC4Picasso_63,CitroenC4Picasso/CitroenC4Picasso_63.wav,63,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8452,0.1548,
clip,CitroenC4Picasso,CitroenC4Picasso_65,CitroenC4Picasso/CitroenC4Picasso_65.wav,65,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8345,0.1655,
clip,CitroenC4Picasso,CitroenC4Picasso_68,CitroenC4Picasso/CitroenC4Picasso_68.wav,68,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8873,0.1127,
clip,CitroenC4Picasso,CitroenC4Picasso_72,CitroenC4Picasso/CitroenC4Picasso_72.wav,72,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8916,0.1084,
clip,CitroenC4Picasso,CitroenC4Picasso_74,CitroenC4Picasso/CitroenC4Picasso_74.wav,74,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8909,0.1091,
clip,CitroenC4Picasso,CitroenC4Picasso_78,CitroenC4Picasso/CitroenC4Picasso_78.wav,78,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8639,0.1361,
clip,CitroenC4Picasso,CitroenC4Picasso_80,CitroenC4Picasso/CitroenC4Picasso_80.wav,80,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8832,0.1168,
clip,CitroenC4Picasso,CitroenC4Picasso_83,CitroenC4Picasso/CitroenC4Picasso_83.wav,83,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.7805,0.2195,
clip,CitroenC4Picasso,CitroenC4Picasso_85,CitroenC4Picasso/CitroenC4Picasso_85.wav,85,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8388,0.1612,
clip,CitroenC4Picasso,CitroenC4Picasso_87,CitroenC4Picasso/CitroenC4Picasso_87.wav,87,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8612,0.1388,
clip,CitroenC4Picasso,CitroenC4Picasso_92,CitroenC4Picasso/CitroenC4Picasso_92.wav,92,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.5512,0.4488,
clip,CitroenC4Picasso,CitroenC4Picasso_94,CitroenC4Picasso/CitroenC4Picasso_94.wav,94,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8692,0.1308,
clip,CitroenC4Picasso,CitroenC4Picasso_96,CitroenC4Picasso/CitroenC4Picasso_96.wav,96,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.7401,0.2599,
group,CitroenC4Picasso,__GROUP__CitroenC4Picasso,,,,,,L2R,23,19,4,0,0.8261,0.1739,0.0,L2R,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,,,
clip,KiaSportage,KiaSportage_100,KiaSportage/KiaSportage_100.wav,100,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8648,0.1352,
clip,KiaSportage,KiaSportage_103,KiaSportage/KiaSportage_103.wav,103,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8516,0.1484,
clip,KiaSportage,KiaSportage_105,KiaSportage/KiaSportage_105.wav,105,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.9152,0.0848,
clip,KiaSportage,KiaSportage_31,KiaSportage/KiaSportage_31.wav,31,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.9075,0.0925,
clip,KiaSportage,KiaSportage_33,KiaSportage/KiaSportage_33.wav,33,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8515,0.1485,
clip,KiaSportage,KiaSportage_35,KiaSportage/KiaSportage_35.wav,35,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.9081,0.0919,
clip,KiaSportage,KiaSportage_38,KiaSportage/KiaSportage_38.wav,38,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8375,0.1625,
clip,KiaSportage,KiaSportage_41,KiaSportage/KiaSportage_41.wav,41,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.9254,0.0746,
clip,KiaSportage,KiaSportage_44,KiaSportage/KiaSportage_44.wav,44,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.888,0.112,
clip,KiaSportage,KiaSportage_46,KiaSportage/KiaSportage_46.wav,46,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.9357,0.0643,
clip,KiaSportage,KiaSportage_48,KiaSportage/KiaSportage_48.wav,48,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.874,0.126,
clip,KiaSportage,KiaSportage_51,KiaSportage/KiaSportage_51.wav,51,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.9265,0.0735,
clip,KiaSportage,KiaSportage_53,KiaSportage/KiaSportage_53.wav,53,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.9081,0.0919,
clip,KiaSportage,KiaSportage_55,KiaSportage/KiaSportage_55.wav,55,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.9339,0.0661,
clip,KiaSportage,KiaSportage_58,KiaSportage/KiaSportage_58.wav,58,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.9287,0.0713,
clip,KiaSportage,KiaSportage_61,KiaSportage/KiaSportage_61.wav,61,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.9132,0.0868,
clip,KiaSportage,KiaSportage_63,KiaSportage/KiaSportage_63.wav,63,audio,10.006,431,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.9163,0.0837,
clip,KiaSportage,KiaSportage_65,KiaSportage/KiaSportage_65.wav,65,audio,10.027,432,L2R,,,,,,,,,deep_mel_2class_right_100ep,D:\Antigravity\DopplerLab\IDMT_experiments\checkpoints\transfer\direction\deep_mel_2class_right_100ep\best.pt,,0.8992,0.1008,
