clip_id,event_id,wav_path,is_background,date_time,location,speed_kmh,sample_pos,daytime,weather,vehicle,source_direction,travel_direction,microphone,channel,split
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10077440_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10077440,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10077440_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10077440,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10173440_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10173440,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10173440_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10173440,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10269440_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10269440,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10269440_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10269440,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10365440_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10365440,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10365440_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10365440,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10461440_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10461440,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10461440_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10461440,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10557440_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10557440,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10557440_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10557440,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10653440_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10653440,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10653440_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10653440,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10749440_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10749440,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10749440_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10749440,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10845440_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10845440,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_10845440_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,10845440,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1116695_M_D_CR_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1116695_M_D_CR,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1116695_M_D_CR_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1116695,M,D,C,R,R2L,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1137602_M_D_CL_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1137602_M_D_CL,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1137602_M_D_CL_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1137602,M,D,C,L,L2R,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11398656_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11398656,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11398656_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11398656,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1141442_M_D_CR_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1141442_M_D_CR,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1141442_M_D_CR_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1141442,M,D,C,R,R2L,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11494656_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11494656,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11494656_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11494656,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11590656_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11590656,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_11590656_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,11590656,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1172589_M_D_CL_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1172589_M_D_CL,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1172589_M_D_CL_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1172589,M,D,C,L,L2R,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12135936_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12135936,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12135936_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12135936,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12231936_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12231936,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12231936_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12231936,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12327936_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12327936,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12327936_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12327936,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1238893_M_D_CL_SE_CH34,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1238893_M_D_CL,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_1238893_M_D_CL_SE_CH34.wav,False,2019-10-22-08-40,Fraunhofer-IDMT,30,1238893,M,D,C,L,L2R,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12423936_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12423936,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12423936_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12423936,None,None,none,none,none,SE,CH34,unknown
2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12519936_SE_CH34-BG,2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12519936,D:\Antigravity\DopplerLab\IDMT_experiments\IDMT_Traffic\audio\2019-10-22-08-40_Fraunhofer-IDMT_30Kmh_12519936_SE_CH34-BG.wav,True,2019-10-22-08-40,Fraunhofer-IDMT,30,12519936,None,None,none,none,none,SE,CH34,unknown
